Altitude,Cumulative Distance,Cumulative Flight Time,Date,Distance,ES,Flight Duration (hr),Flight Time,Gender,Glider,GliderClass,Height Difference,Height Gain,Height Over Start,IGC File name,Id,Landing Time,Launch Time,Made Goal,Max Height,Max Vario,Min Vario,Pilot,SS,Score,Start Height,Start Time (UTC),Task,Task Type,Time,Timed Distance,km/h,cumulative_score,Avg Speed (km/hr),Speed on course (km/hr)
,486.73,22.1982,12.08.2022,87.14,14:24:36,3.1453,03:08:43,,GIN GLIDERS Puma,D,-71,7537,1780,Felix Figueroa 2022-08-12-XCT-FFI-01.igc,44.0,19:35:03,11:26:20,True,1856,5.2,-5.0,Felix Figueroa,11:57:07,601.0,76,16:26:20,6,Downwind,2.4581,82.14,34.6,2618.0,27.70482942803548,33.41605304910296
,529.98,23.5879,13.08.2022,43.25,,1.3897,01:23:23,,GIN GLIDERS Puma,D,-65,3801,1541,Felix Figueroa 2022-08-13-XCT-FFI-01.igc,44.0,18:30:30,12:07:07,False,1622,6.2,-4.0,Felix Figueroa,12:22:03,229.0,81,17:07:07,7,Downwind,1.1408333333333334,38.25,,2847.0,31.121824854285098,33.5281227173119
,175.3,5.5639,07.08.2022,175.3,17:32:37,5.5639,05:33:50,M,NKN,C,-164,13580,2167,Tom McCormick 2022-08-07_17_09_01.igc,45.0,22:43:08,12:09:18,True,2254,7.0,-4.8,Thomas Mccormick,12:27:33,709.0,87,17:09:18,1,Downwind,5.0844,170.3,34.1,709.0,31.506676971189275,33.49461096687909
,352.02,12.2375,08.08.2022,176.72,17:47:10,6.6736,06:40:25,,NKN,C,-260,18086,2407,Thomas McCormick 2022-08-08_16_23_05.igc,45.0,23:03:39,11:23:14,True,2490,6.2,-5.6,Thomas Mccormick,11:46:09,652.0,83,16:23:14,2,Downwind,6.0169,171.72,29.0,1361.0,26.48046032126588,28.539613422194154
,415.62,15.282800000000002,09.08.2022,63.6,,3.0453,03:02:43,,NKN,C,-39,7963,2058,Thomas McCormick 2022-08-09_18_18_42.igc,45.0,21:21:37,13:18:54,False,2141,5.8,-4.6,Thomas Mccormick,13:45:48,411.0,83,18:18:54,3,Rectangle,2.5969444444444445,58.6,,1772.0,20.88464190720126,22.564980211787358
921.0,432.29,17.330000000000002,10.08.2022,16.67,,2.0472,02:02:50,,NKN,C,-51,5805,1938,Tom McCormick 2022-08-10_17_53_27.igc,45.0,19:56:31,12:53:41,False,2023,5.2,-5.2,Thomas Mccormick,12:00:00,140.0,85,17:53:41,4,Out-and-Back(stopped),2.9419444444444443,11.670000000000002,,1912.0,8.142829230168035,3.966764233783402
,475.69,17.347800000000003,11.08.2022,43.4,,,00:01:04,,NKN,C,-35,7976,1853,Tom McCormick 2022-08-11_15_59_04.igc,45.0,16:01:48,11:00:44,False,1905,0.6,-0.6,Thomas Mccormick,12:32:15,314.0,52,16:00:44,5,Triangle,22.4925,38.4,,2226.0,0,1.7072357452484161
,482.69,17.553100000000004,12.08.2022,7.0,,,00:12:19,,NKN,C,0,618,532,Tom McCormick 2022-08-12_17_58_20.igc,45.0,18:10:51,12:58:32,False,612,5.6,-3.2,Thomas Mccormick,,34.0,80,17:58:32,6,Downwind,0,2.0,,2260.0,0,0.0
,541.3,17.720900000000004,13.08.2022,58.61,15:18:33,,00:10:04,,NKN,C,-1,4370,1929,Thomas McCormick 2022-08-13_18_34_18.igc,45.0,18:44:35,13:34:31,True,2008,3.6,-3.8,Thomas Mccormick,14:03:04,362.0,79,18:34:31,7,Downwind,1.2581,53.61,45.4,2622.0,0,42.61187504967808
,162.43,4.78,07.08.2022,162.43,,4.78,04:46:48,M,Default,C,-147,12391,2014,David Prentice 2022-08-07-XCM-I1S-01.igc,35.0,23:03:36,13:16:48,False,2112,5.8,-4.4,David Prentice,13:40:00,510.0,98,18:16:48,1,Downwind,4.3933333333333335,157.43,,510.0,33.98117154811715,35.83383915022762
,339.15,10.6633,08.08.2022,176.72,18:09:47,5.8833,05:53:00,,Default,C,-251,16526,2786,David Prentice 2022-08-08-XCM-I1S-02.igc,35.0,23:38:23,12:45:23,True,2869,5.4,-5.0,David Prentice,13:10:51,835.0,83,17:45:23,2,Downwind,4.9822,171.72,35.1,1345.0,30.037563952203694,34.46670145718759
,427.59,14.3614,09.08.2022,88.44,,3.6981,03:41:53,,Default,C,-39,10288,2336,David Prentice 2022-08-09-XCM-I1S-04.igc,35.0,23:09:17,14:27:24,False,2415,5.0,-4.2,David Prentice,14:46:00,572.0,79,19:27:24,3,Rectangle,3.3880555555555554,83.44,,1917.0,23.914983369838563,24.627695334918425
